     OBJECTID_1       GIS_ID  FEDTRACTNO  TRACTNO  AREASQMI   POPDENSITY  TOTAL              NAME  FULLTOTAL  AGE0_17  AGE0_17PCT  AGE18PLUS  AGE18PLUSP  CHTOTAL  CHWHITE  CHBLACK  CHAMERIND  CHASIAN  CHHISP  CHOTHER  TOTALPERC  TOTAL90  TOTAL00  TOTPOPCHG  TOTPOPCHGP  WHITE  BLACK  AMERIND  ASIAN  HAWAIIAN  OTHER  HISPANIC  OCCUPIEDHO  PCTOWNEROC  TRACT90         COMMENT_  MRDCHREL  MRDCHRELNO  MHHCHREL  MHHCHRELNO  FMHHCHREL  FMHHCHRELN  MARRIED  TOTHOUSEUN  SINGLEFAMI  MULTIUNIT  CONSTRCOST  SINGLECOST  MULTICOST  MULTIPERSO  SINGLEPERS  FAGI_TOTAL_2005  FAGI_MEAN_2005  FAGI_MEDIAN_2005  FAGI_TOTAL_2006  FAGI_MEDIAN_2006  AREA  LEN  SHAPE_Length    SHAPE_Area
0             1  Tract00_017       22.01    22.10   0.16027  21869.34548   3505  2000 Tract 22.01       1135      824     0.23509       2681     0.76490     -147      126     -393         46       22     273      178     -4.025     3652     3505       -147    -0.04025     29   2938        2     14         0      4       456         905     0.79735     22.1                        132         218        27          58         98         269      350           0           0          0           0           0          0          61         272       53943913.0      36179.6868           28487.0       49226475.0           32345.0     0    0   2575.694209  4.151120e+05
1             2  Tract00_158        9.01     9.10   1.16481   6188.13369   7208   2000 Tract 9.01       1465      948     0.13152       6260     0.86847      364      -80      131         14       36      -6      383      5.319     6844     7208        364     0.05318   5655    389       13    323         7    310       410        1301     0.88805      9.1                        468         571        11          11         36          29     1039          10          10          0     4215774     4215774          0          95         244      477654010.0     293399.2690          105399.0      491999497.0          139934.0     0    0   7097.343371  3.016852e+06
2             3  Tract00_018       13.02    13.20   0.61848  10176.56189   6294  2000 Tract 13.02       4632      341     0.05417       5953     0.94582      318      273       -6         20      145      -9       54      5.321     5976     6294        318     0.05321   4995    368        7    360         1     27       410        1420     0.30656     13.2                        182         561        11          21         27          69      743         169           1        168    17600000      600000   17000000         315        3446      288845784.0      78299.2095           56676.0      294212897.0           67927.0     0    0   5998.950859  1.601868e+06
3             4  Tract00_019       25.01    25.10   0.20982  11400.24783   2392  2000 Tract 25.01        885      510     0.21321       1882     0.78678        3      112     -288         27       18     292      247      0.126     2389     2392          3     0.00125    185   1605        1     15         0      8       534         542     0.61242     25.1                        120         126        21          42         52         128      246           0           0          0           0           0          0          75         321       48061278.0      43298.4486           27553.5       45509375.0           31890.5     0    0   3106.336421  5.434385e+05
4             5  Tract00_020       23.01    23.10   0.14918  20076.41775   2995  2000 Tract 23.01       1048      673     0.22470       2322     0.77529     -348       79     -518         32       20     164      112    -10.410     3343     2995       -348    -0.10409     43   2620        9     13         3     12       244         760     0.72519     23.1                         85         196        18          57        108         228      281           0           0          0           0           0          0          64         292       47301412.0      39221.7347           30733.0       43536452.0           35158.0     0    0   2986.767303  3.863727e+05
5             6  Tract00_022       95.04    95.40   0.39379   8514.69057   3353  2000 Tract 95.04       1312      601     0.17924       2752     0.82075      126     -179      280         22       34      21       41      3.905     3227     3353        126     0.03904    562   2552        3     81         1      4       102         708     0.53963     95.4                        123         209        26          37        137         157      332           0           0          0           0           0          0         102         521       59146507.0      44740.1717           35486.5       55634768.0           41637.5     0    0   4246.252668  1.019918e+06
6             7  Tract00_023       10.02    10.20   0.34368  10082.05307   3465  2000 Tract 10.02       2281      222     0.06406       3243     0.93593      -69     -165      -17         17      141      41       99     -1.952     3534     3465        -69    -0.01952   2415    213        9    354         2     14       345         692     0.30337     10.2                         93         294        11          16         55          57      387           0           0          0           0           0          0         324        1431      103611998.0      81777.4254           59945.0      103243527.0           72738.0     0    0   3970.080689  8.901443e+05
7             8  Tract00_024       23.02    23.20   0.79006   1702.40235   1345  2000 Tract 23.02        567      138     0.10260       1207     0.89739    -3072    -2126     -914          3      -18     -78       16    -69.549     4417     1345      -3072    -0.69549    387    841        9     20         0      4        52         166     0.29276     23.2                         31          39         8          16         30          59       70           0           0          0           0           0          0         146         238       26493894.0      36392.7115           23942.0       24379701.0           27481.5     0    0   6178.722187  2.046248e+06
8             9  Tract00_026       25.02    25.20   0.23339  23505.72004   5486  2000 Tract 25.02       1920     1363     0.24845       4123     0.75154      640      513     -947         48       46    1425     1268     13.207     4846     5486        640     0.13206    165   3026       14     38         1     17      2130         737     0.38385     25.2                        295         247        47          87        172         255      542           0           0          0           0           0          0         157         660       78494728.0      33134.1190           25160.0       70487737.0           29268.5     0    0   3240.255842  6.044832e+05
9            10  Tract00_150        9.02     9.20   0.82807   2382.64881   1973   2000 Tract 9.02        837      403     0.20425       1570     0.79574       18        4       23          5        7      21       26      0.921     1955     1973         18     0.00920   1684     95        1     62         0      0        89         689     0.82317      9.2                        190         244        13          10         32          29      434           3           3          0      650000      650000          0          91         228      151454009.0     190268.8555           90259.0      155484137.0          108978.0     0    0   8793.156157  2.144701e+06
10           11  Tract00_151        8.01     8.10   1.16949   5746.94953   6721   2000 Tract 8.01       3280      776     0.11545       5945     0.88454      793      434      111         11      294     183      126     13.377     5928     6721        793     0.13377   5339    283        4    390         4     32       502        1979     0.60335      8.1                        377         804         9          26         69          74     1181           1           1          0     3000000     3000000          0         284        1637      405283470.0     198182.6259           80825.0      396165442.0           94832.0     0    0   8255.427537  3.028972e+06
11           12  Tract00_028       28.01    28.10   0.06637  54678.31852   3629  2000 Tract 28.01       1400      942     0.25957       2687     0.74042      206      315     -328         44       -7     382      460      6.018     3423     3629        206     0.06018    197   1814       15     80         3     13      1414         251     0.17928     28.1                        171         134        37          78        186         129      305           0           0          0           0           0          0         132         533       45508896.0      30728.4916           22768.0       39540059.0           26392.0     0    0   1725.297710  1.719018e+05
12           13  Tract00_184       91.01    91.10   1.18029   4089.67288   4827  2000 Tract 91.01       1713      982     0.20343       3845     0.79656     -240      -80     -150         19       27      11       -4     -6.641     3614     4827       -240    -0.04736    117   4517       18     38         0     10        94        1220     0.71220     90.2  Tracts Combined       172         344        25          78        137         283      516           0           0          0           0           0          0         110         564       77884372.0      41427.8574           33600.5       69284462.0           38355.5     0    0   8496.871755  3.056943e+06
13           14  Tract00_032       93.01    93.10   0.42707   7738.77819   3305  2000 Tract 93.01       1141      666     0.20151       2639     0.79848     -277      -50     -252         41       -8      59       87     -7.733     3582     3305       -277    -0.07733    611   2352       14     54         1     18       187         931     0.81595     93.1                        147         255        18          43         92         180      402           0           0          0           0           0          0         110         296       66231195.0      50137.1650           38542.0       61756468.0           45913.0     0    0   4607.170864  1.106100e+06
14           15  Tract00_033        7.01     7.10   0.22590  19455.51129   4395   2000 Tract 7.01       2915      300     0.06825       4095     0.93174     -183     -151      -24         21      118    -160       -8     -3.997     4578     4395       -183    -0.03997   3513    147        5    250         3     12       375        1424     0.48850      7.1                        134         483        13          24         35          61      617           2           2          0      450000      450000          0         252        1913      241018543.0      93454.2625           56217.0      254291556.0           67270.0     0    0   3556.523648  5.850779e+05
15           16  Tract00_034       92.01    92.10   0.24604   5612.90847   1381  2000 Tract 92.01        521      223     0.16147       1158     0.83852     -370     -401       28         11       15       7       16    -21.131     1751     1381       -370    -0.21130    263    992        2     19         0      2        73         218     0.41842     92.1                         28          63        10          19         51          57       91           0           0          0           0           0          0          37         256       17433456.0      33143.4525           27989.5       15443184.0           32588.0     0    0   3292.209505  6.372396e+05
16           17  Tract00_036       27.02    27.20   0.18846  32112.91521   6052  2000 Tract 27.02       2553      914     0.15102       5138     0.84897     -190      496     -696         35      320     106      -47     -3.044     6242     6052       -190    -0.03043   2258   1145       23    391         1     17      2077         825     0.32314     27.2                        303         351        52         126        130         131      654           0           0          0           0           0          0         509         951      143696109.0      55225.2533           34297.5      139239788.0           41950.0     0    0   3408.040521  4.881198e+05
17           18  Tract00_037        5.01     5.10   0.34486   8017.74633   2765   2000 Tract 5.01       1793      110     0.03978       2655     0.96021       -9      -25        2         21       69     -26       -9     -0.324     2774     2765         -9    -0.00324   2263    131        5    154         2      5       157         329     0.18349      5.1                         59         218         4           4          9          24      277         211           0        211    20392000           0   20392000         275        1200      145940964.0      83633.7903           57002.0      147682278.0           68802.0     0    0   5384.130387  8.931810e+05
18           19  Tract00_038        5.02     5.20   0.23541  13219.48940   3112   2000 Tract 5.02       1743      334     0.10732       2778     0.89267     -704     -628      -41         19       22    -128        6    -18.449     3816     3112       -704    -0.18448   2632     75        1    119         0     13       222         814     0.46701      5.2                        163         340        11          15         37          32      503           0           0          0           0           0          0         252         893      231202410.0     120417.9219           61776.5      233054708.0           75729.0     0    0   4315.867944  6.097215e+05
