     OBJECTID  TRACT        GEOID  Total Population  Total Pop of 1 Race  Pop of 1 race: White  Pop of 1 race: Black  Pop of 1 race: American Indian Alaskan  Pop of 1 race: Asian  Pop of 1 race: Native Hawaiian Pacific Islander  Pop of 1 race: Other Race  Pop 2 or more races: Black and  Pop 2 or more races: American Indian Alaskan and  Pop 2 or more races: Asian and  Pop 2 or more races: Native Hawaiian Pacific Islander and  Total Hispanic Population  Total Non-Minority Population (White Not Hispanic)  Not Hispanic Pop of 1 race: Black  Not Hispanic Pop of 1 race: American Indian Alaskan  Not Hispanic Pop of 1 race: Asian  Not Hispanic Pop of 1 race: Native Hawaiian Pacific Islander  Not Hispanic Pop of 1 race: Other Race  Not Hispanic Pop 2 or more races: Black and  Not Hispanic Pop 2 or more races: American Indian Alaskan and  Not Hispanic Pop 2 or more races: Asian and  Not Hispanic Pop 2 or more races: Native Hawaiian Pacific Islander and  Total Pop 18+  18+ Pop 1 race: White  18+ Pop 1 race: Black  18+ Pop 1 race: American Indian Alaskan  18+ Pop 1 race: Asian  18+ Pop 1 race: Native Hawaiian Pacific Islander  18+ Pop 1 race: Other race  18+ Pop 2 or more races: Black and  18+ Pop 2 or more races: American Indian Alaskan and  18+ Pop 2 or more races: Asian and  18+ Pop 2 or more races: Native Hawaiian Pacific Islander  Hispanic 18+ Pop  Non-Minority 18+ Pop (White Non-Hispanic)  Not Hispanic 18+ Pop 1 race: Black  Not Hispanic 18+ Pop 1 race: American Indian Alaskan  Not Hispanic 18+ Pop 1 race: Asian  Not Hispanic 18+ Pop 1 race: Native Hawaiian Pacific Islander  Not Hispanic 18+ Pop 1 race: Other race  Not Hispanic 18+ Pop 2 or more races: Black and  Not Hispanic 18+ Pop 2 or more races: American Indian Alaskan and  Not Hispanic 18+ Pop 2 or more races: Asian and  Not Hispanic 18+ Pop 2 or more races: Native Hawaiian Pacific Islander and  Total Housing Units  Occupied Housing Units  Vacant Housing Units        ACRES  SQ_MILES  Shape_Length    Shape_Area  FAGI_TOTAL_2010  FAGI_MEDIAN_2010  FAGI_TOTAL_2013  FAGI_MEDIAN_2013  FAGI_TOTAL_2011  FAGI_MEDIAN_2011  FAGI_TOTAL_2012  FAGI_MEDIAN_2012  FAGI_TOTAL_2014  FAGI_MEDIAN_2014  FAGI_TOTAL_2015  FAGI_MEDIAN_2015
0           1   3400  11001003400              4347                 4152                   576                  3392                                      20                    97                                                3                         64                             157                                                66                              45                                                  8                                239                                                528                                3295                                                  8                                   90                                                  3                                                 16                                          143                                                 61                                                       40                                                  5                                3997                    538                   3129                                       15                     86                                                 3                          53                                 140                                                 59                                     40                                                  8                       200                                        500                                3043                                                  8                                     79                                                  3                                                   14                                              129                                                 55                                                               35                                                  5                                          1347                    1025                   322   266.264201  0.416038   4800.865939  1.077533e+06     5.334407e+07          39287.00     7.503770e+07           43117.0       59287920.0           38099.0     7.043656e+07           40413.0     7.963691e+07           42596.0     9.209657e+07           46152.0
1           2   3500  11001003500              3740                 3594                   626                  2681                                      14                   106                                                0                        167                              91                                                26                              28                                                  8                                371                                                530                                2620                                                 11                                  106                                                  0                                                  7                                           70                                                 24                                                       25                                                  7                                3398                    581                   2444                                       13                    104                                                 0                         131                                  85                                                 26                                     23                                                  8                       292                                        508                                2387                                                 10                                    104                                                  0                                                    7                                               70                                                 24                                                               20                                                  7                                          1189                     964                   225    94.352383  0.147426   2982.473558  3.818306e+05     4.645466e+07          30673.50     6.623978e+07           32859.5       55914150.0           30555.5     6.090965e+07           32885.0     7.887355e+07           40450.0     9.754957e+07           44843.0
2           3   3600  11001003600              4208                 4048                  1773                  1645                                      13                   161                                                0                        456                              58                                                39                              44                                                 11                                809                                               1521                                1604                                                  8                                  158                                                  0                                                 14                                           49                                                 20                                                       41                                                  9                                3680                   1691                   1378                                       11                    149                                                 0                         324                                  50                                                 31                                     35                                                 10                       616                                       1473                                1346                                                  7                                    146                                                  0                                                   11                                               44                                                 19                                                               32                                                  8                                          2308                    1987                   321    75.521648  0.118003   2293.465280  3.056253e+05     1.106218e+08          35858.00     1.613762e+08           42788.5      147954698.0           40355.0     1.532475e+08           40692.0     1.430815e+08           41616.0     1.780404e+08           46806.0
3           4   3700  11001003700              5763                 5507                  1915                  2527                                      22                   212                                               10                        821                             134                                                60                              55                                                 15                               1514                                               1490                                2405                                                 13                                  206                                                  7                                                 16                                           65                                                 34                                                       45                                                  7                                4798                   1782                   1988                                       17                    193                                                 9                         605                                 106                                                 50                                     49                                                 10                      1125                                       1450                                1906                                                  9                                    188                                                  6                                                   15                                               55                                                 26                                                               41                                                  7                                          2570                    2401                   169    72.231863  0.112862   2297.040644  2.923120e+05     1.039060e+08          32263.00     1.620581e+08           41387.5      126923023.0           35705.5     1.435966e+08           38248.0     1.405017e+08           39131.0     1.816520e+08           45690.5
4           5   3800  11001003800              4614                 4419                  2884                   825                                      22                   261                                                1                        426                              77                                                37                              78                                                  7                                935                                               2456                                 796                                                 10                                  257                                                  1                                                 26                                           59                                                 27                                                       68                                                  3                                4177                   2726                    729                                       18                    240                                                 1                         313                                  53                                                 35                                     64                                                  6                       738                                       2364                                 705                                                  8                                    236                                                  1                                                   22                                               39                                                 26                                                               55                                                  2                                          2861                    2625                   236    87.921652  0.137378   2708.295074  3.558063e+05     1.559601e+08          48799.00     2.090404e+08           54786.0      196678623.0           52077.0     2.136020e+08           54908.0     2.135442e+08           56380.0     2.356193e+08           60561.0
5           6   3900  11001003900              4474                 4304                  3285                   563                                      21                   225                                                4                        206                              88                                                43                              59                                                  3                                553                                               2995                                 546                                                 13                                  224                                                  3                                                 21                                           55                                                 25                                                       57                                                  3                                4225                   3145                    528                                       20                    208                                                 4                         181                                  72                                                 34                                     49                                                  3                       492                                       2884                                 511                                                 13                                    207                                                  3                                                   17                                               46                                                 24                                                               47                                                  3                                          2996                    2806                   190    99.080501  0.154813   3408.080644  4.009646e+05     1.558781e+08          51160.00     2.062380e+08           59470.0      211741280.0           56264.5     2.151637e+08           58480.0     1.794737e+08           58736.0     2.146402e+08           63630.0
6           7   6500  11001006500              2531                 2469                  2088                   228                                      13                   113                                                1                         26                              19                                                13                              32                                                  7                                123                                               1999                                 222                                                 11                                  112                                                  1                                                 10                                           17                                                  9                                                       31                                                  6                                2296                   1913                    212                                       11                     97                                                 1                          18                                  11                                                  8                                     25                                                  5                       102                                       1837                                 207                                                 10                                     96                                                  1                                                    6                                                9                                                  6                                                               24                                                  4                                          1543                    1320                   223   122.570172  0.191516   3386.495881  4.960239e+05     1.200784e+08          76911.00     1.380211e+08           79139.0      138113790.0           75279.0     1.538341e+08           75784.0     1.378751e+08           89279.0     1.563075e+08           92684.0
7           8   1500  11001001500              5911                 5729                  4877                   643                                       7                   145                                                2                         55                              67                                                34                              97                                                  8                                304                                               4642                                 637                                                  6                                  144                                                  2                                                 21                                           62                                                 27                                                       86                                                  8                                4371                   3609                    521                                        7                    119                                                 2                          34                                  33                                                 21                                     36                                                  5                       205                                       3444                                 517                                                  6                                    118                                                  2                                                   15                                               31                                                 16                                                               30                                                  5                                          2126                    2081                    45  1161.050947  1.814142  10650.327088  4.698607e+06     5.058171e+08         135878.00     4.647683e+08          136868.0      531571394.0          140516.0     6.118144e+08          147108.0     5.863017e+08          158383.0     6.233410e+08          165589.0
8           9   1600  11001001600              3957                 3799                   997                  2670                                       8                    55                                                1                         68                             114                                                51                              45                                                  0                                200                                                930                                2621                                                  4                                   55                                                  0                                                 15                                          104                                                 45                                                       37                                                  0                                3239                    801                   2255                                        6                     48                                                 1                          42                                  59                                                 41                                     19                                                  0                       136                                        756                                2219                                                  3                                     48                                                  0                                                    6                                               57                                                 39                                                               16                                                  0                                          1685                    1620                    65   667.006081  1.042197   8627.683622  2.699278e+06     2.398609e+08          88449.50     2.060501e+08           86508.5      241106479.0           84972.0     2.538559e+08           89084.5     2.801463e+08           97830.5     2.851792e+08           99800.5
9          10   1702  11001001702              2644                 2519                  1020                  1342                                       6                    79                                                1                         71                              94                                                34                              29                                                  2                                212                                                918                                1325                                                  5                                   78                                                  1                                                  8                                           77                                                 33                                                       25                                                  1                                2273                    888                   1175                                        5                     70                                                 1                          55                                  57                                                 26                                     18                                                  1                       155                                        815                                1162                                                  4                                     69                                                  1                                                    6                                               45                                                 25                                                               17                                                  1                                          1312                    1230                    82   229.815973  0.359087   4873.125958  9.300323e+05     8.500144e+07          53846.50     9.917287e+07           57746.0       95489279.0           53472.5     1.019083e+08           56393.0     1.122742e+08           59101.0     1.183916e+08           59590.0
